Date,Open,High,Low,Close,Adj Close,Volume
2024-04-30,1376.400024,1397.900024,1362.449951,1366.599976,1338.236084,7606726
2024-05-02,1358.000000,1377.900024,1358.000000,1360.699951,1332.458618,6555505
2024-05-03,1370.000000,1370.000000,1333.550049,1348.050049,1320.071167,5964228
2024-05-06,1358.000000,1365.000000,1348.500000,1358.800049,1330.598022,2504082
2024-05-07,1347.949951,1348.900024,1326.150024,1330.949951,1320.822876,5096525
2024-05-08,1330.949951,1334.000000,1307.300049,1313.650024,1303.654663,6832455
2024-05-09,1315.000000,1339.000000,1314.500000,1320.050049,1310.005981,5653762
2024-05-10,1320.099976,1322.900024,1303.599976,1316.199951,1306.185181,3357203
2024-05-13,1316.199951,1321.900024,1301.650024,1312.900024,1302.910278,2316566
2024-05-14,1322.000000,1326.949951,1308.699951,1321.050049,1310.998291,3200462
2024-05-15,1319.250000,1340.300049,1318.250000,1332.900024,1322.758179,2975965
2024-05-16,1345.000000,1357.800049,1328.500000,1348.150024,1337.892090,5055915
2024-05-17,1351.000000,1351.000000,1330.199951,1333.199951,1323.055786,2487831
2024-05-21,1314.000000,1349.849976,1314.000000,1341.900024,1331.689697,4966721
2024-05-22,1348.949951,1352.900024,1340.000000,1343.050049,1332.830933,2390777
2024-05-23,1346.650024,1358.449951,1338.000000,1353.550049,1343.250977,3326149
2024-05-24,1360.000000,1360.000000,1340.849976,1345.199951,1334.964478,1769966
2024-05-27,1351.000000,1359.599976,1338.000000,1353.300049,1343.002930,1942325
2024-05-28,1357.849976,1363.300049,1345.599976,1358.400024,1348.064087,2147233
2024-05-29,1366.000000,1366.599976,1346.949951,1353.099976,1342.804443,3845920
2024-05-30,1346.000000,1351.550049,1325.099976,1331.849976,1321.716064,4150461
2024-05-31,1331.849976,1340.900024,1315.750000,1324.099976,1314.025024,10319045
2024-06-03,1350.550049,1354.750000,1309.849976,1314.449951,1304.448486,5384064
2024-06-04,1325.000000,1325.000000,1235.000000,1303.550049,1293.631470,5447244
2024-06-05,1320.000000,1356.900024,1316.099976,1343.699951,1333.475830,3005139
2024-06-06,1354.000000,1399.800049,1350.900024,1397.500000,1386.866577,5936709
2024-06-07,1407.000000,1438.650024,1398.000000,1431.500000,1420.607910,5884025
2024-06-10,1440.000000,1442.000000,1397.500000,1418.750000,1407.954834,3293739
2024-06-11,1425.000000,1437.949951,1415.400024,1428.800049,1417.928467,2269082
2024-06-12,1472.000000,1472.000000,1434.500000,1438.750000,1427.802734,5990861
2024-06-13,1447.750000,1457.699951,1437.099976,1444.150024,1433.161621,4232861
2024-06-14,1444.150024,1446.000000,1424.400024,1431.050049,1420.161377,3065114
2024-06-18,1431.050049,1439.750000,1427.050049,1437.199951,1426.264404,2223029
2024-06-19,1440.050049,1451.900024,1430.300049,1445.849976,1434.848633,3117522
2024-06-20,1448.949951,1448.949951,1429.550049,1443.449951,1432.466919,3163919
2024-06-21,1462.000000,1481.949951,1439.199951,1447.849976,1436.833496,6489262
2024-06-24,1437.849976,1443.949951,1426.599976,1440.849976,1429.886719,1988692
2024-06-25,1440.949951,1450.099976,1426.449951,1447.949951,1436.932617,2079037
2024-06-26,1447.949951,1453.300049,1438.199951,1443.699951,1432.714966,1917424
2024-06-27,1435.000000,1460.550049,1423.500000,1454.900024,1443.829834,6613193
2024-06-28,1468.000000,1468.699951,1442.000000,1459.599976,1448.494019,4943575
2024-07-01,1465.000000,1478.599976,1455.000000,1468.849976,1457.673706,3723295
2024-07-02,1475.000000,1492.449951,1473.000000,1480.800049,1469.532837,3811366
2024-07-03,1489.000000,1489.000000,1471.199951,1481.000000,1469.731201,2070876
2024-07-04,1485.000000,1534.550049,1485.000000,1522.349976,1510.766602,6822557
2024-07-05,1523.000000,1529.250000,1505.550049,1519.400024,1507.839111,3061687
2024-07-08,1528.000000,1540.000000,1506.199951,1533.400024,1521.732544,2939620
2024-07-09,1533.400024,1546.300049,1525.000000,1531.099976,1519.449951,2658608
2024-07-10,1531.099976,1532.599976,1487.849976,1509.949951,1498.460938,3507096
2024-07-11,1515.000000,1534.000000,1508.050049,1511.900024,1500.396118,3304053
2024-07-12,1530.000000,1566.000000,1510.500000,1560.199951,1548.328613,6430647
2024-07-15,1580.000000,1636.400024,1567.400024,1569.599976,1557.657104,10337489
2024-07-16,1565.000000,1583.000000,1555.000000,1569.550049,1557.607544,3540650
2024-07-18,1558.050049,1599.250000,1557.000000,1594.550049,1582.417236,4399468
2024-07-19,1610.500000,1616.449951,1588.599976,1594.550049,1582.417236,5633838
2024-07-22,1588.599976,1594.500000,1570.900024,1577.099976,1565.099976,2704495
2024-07-23,1574.000000,1600.800049,1551.099976,1598.349976,1598.349976,2907674
2024-07-24,1594.000000,1598.000000,1576.849976,1583.699951,1583.699951,2484299
2024-07-25,1570.000000,1594.000000,1562.849976,1587.599976,1587.599976,2934731
2024-07-26,1602.800049,1640.000000,1594.000000,1635.349976,1635.349976,2814159
2024-07-29,1640.199951,1645.000000,1620.000000,1632.349976,1632.349976,1639491
2024-07-30,1629.000000,1633.000000,1618.000000,1630.250000,1630.250000,1783877
2024-07-31,1621.000000,1645.000000,1619.199951,1642.599976,1642.599976,1984986
